City,Address,Latitude,Longitude,List Price,Close Price,Price Per Sqft,Sqft,DOM,Close Date,Bathrooms,Bedrooms,Subdivision Name,MLS Major Area,List Agent,Buy Agent,List Office Name,Buyer Office Name
Laguna Niguel,4 Shelter Cove,33.498331,-117.701111,4995000,4490000,513,8752,42,08-08-2019,6,6,Ocean Ranch ~ Custom (BBC),LNSLT - Salt Creek,Doug Echelberger,Doug Echelberger,Pacific Sotheby's Int'l Realty,Pacific Sotheby's Int'l Realty
Corona del Mar,3607 Park Green,33.60172,-117.860878,4400000,4249000,1197,3550,0,08-08-2019,4,5,Harbor View Hills 2 (HAV2),CS - Corona Del Mar - Spyglass,Hoda Hajirnia,Andrew RebulioD'Angelo,McMonigle Group Corp,McMonigle Group Corp
Dana Point,35651 Beach,33.445544,-117.651568,3995000,3500000,1289,2715,352,08-08-2019,5,4,Beach Road Custom (BR),CB - Capistrano Beach,Lauren Miskinnis,Lauren Miskinnis,Pacific Sotheby's Int'l Realty,Pacific Sotheby's Int'l Realty
Newport Beach,706 Park,33.605853,-117.894581,2995000,2900000,1208,2401,8,08-08-2019,3,4,Balboa Island - Main Island (BALM),N9 - Lower Newport Bay - Balboa Island,Donald Abrams,Tim Beans,Abrams Coastal Properties,Coldwell Banker Res. Brokerage
San Clemente,100 Via Velazquez,33.439217,-117.633555,1875597,1742597,426,4091,63,08-08-2019,4,4,Other (OTHR),MH - Marblehead,Nicole Murray,General NONMEMBER,TM California Services Inc,NONMEMBER MRML
San Juan Capistrano,26861 Windsor,33.531816,-117.66196,1699000,1600000,434,3687,46,08-08-2019,3,5,Capistrano Royale (CY),JN - San Juan North,Ronald Schreiber,Debbie West,California Realty Experts,Keller Williams Realty Newport
San Juan Capistrano,26862 Via La Mirada,33.476511,-117.662452,1499900,1375000,406,3387,53,08-08-2019,3,5,Meredith Canyon (MC),JS - San Juan South,Lisa Hungerford,Ryan Steinbuch,First Team Real Estste,Living Nicely Real Estate
San Juan Capistrano,29281 Via Zamora,33.498445,-117.620633,1175000,1137500,379,3001,91,08-08-2019,3,5,Other (OTHR),OR - Ortega/Orange County,Casey Elliott,Linda Birck,CES Group Inc.,Pacific Sotheby's Int'l Realty
Laguna Niguel,28781 Charreadas,33.544661,-117.678158,825000,830000,377,2202,6,08-08-2019,3,4,,699 - Not Defined,CARRIE GAN,Fred Stryker,"CENTERMAC REALTY, INC.",West Coast Real Estate
Dana Point,33222 Elisa,33.480555,-117.700137,800000,785000,588,1335,72,08-08-2019,2,3,Dana Crest (DC),DH - Dana Hills,Jesse Senters,Jesse Senters,Jetwen Properties,Jetwen Properties
Newport Beach,737 VIA LIDO NORD,33.611335,-117.912943,5495000,5155312,1357,3799,35,08-09-2019,4,4,Lido Island (LIDO),N8 - West Newport - Lido,Manal Bozarth,General NONMEMBER,Residential Agent Inc.,NONMEMBER MRML
Laguna Beach,2447 Catalina,33.525485,-117.764784,3950000,3875000,1761,2200,50,08-09-2019,3,4,Woods Cove (WC),LV - Laguna Village,Shauna Covington,Eustorgio Villa,Berkshire Hathaway Home Service,Berkshire Hathaway HomeServices
Newport Beach,2 Vintage,33.631953,-117.869288,2695000,2600000,830,3133,42,08-09-2019,2,3,Summer House (OFSH),NV - East Bluff - Harbor View,Teri Armstrong Hardke,Liqin Guo,Coldwell Banker Res. Brokerage,Transglobal Realty
Corona del Mar,512 Marguerite,33.597634,-117.869149,2095000,2120000,707,2999,99,08-09-2019,2,4,Corona del Mar North of PCH (CNHW),CS - Corona Del Mar - Spyglass,Casey Lesher,Michael Davar,Coldwell Banker Res. Brokerage,Davar & Co
San Clemente,204 Via Pamplona,33.436003,-117.630647,2360000,2075000,604,3435,128,08-09-2019,4,4,Other (OTHR),MH - Marblehead,Nicole Murray,General NONMEMBER,TM California Services Inc,NONMEMBER MRML
Laguna Beach,1020 La Mirada,33.529704,-117.760791,1988000,1885000,788,2392,125,08-09-2019,1,4,Arch Beach Heights (ABH),LV - Laguna Village,Thomas Burgess,Danielle Purcell,Surterre Properties,Re/Max Coastal Luxury
Newport Beach,2114 Aralia,33.632357,-117.874404,1755000,1725000,984,1753,7,08-09-2019,2,3,Eastbluff - Lusk (EBLK),NV - East Bluff - Harbor View,Katie Rollins,Thomas Springer,Surterre Properties,Compass
Dana Point,32302 Azores,33.49326,-117.72247,1690000,1725000,670,2575,5,08-09-2019,2,4,Monarch Bay Terrace (MBT),MB - Monarch Beach,Thomas Lloy,Sharon Custer,Keller Williams Realty,First Team Real Estate
San Clemente,146 Calle Redondel,33.433839,-117.62374,1737000,1711000,451,3794,5,08-09-2019,3,5,Other (OTHR),SC - San Clemente Central,Bree Hughes,Bree Hughes,Douglas Elliman of California,Douglas Elliman of California
San Clemente,34 Via Torina,33.477472,-117.588817,1549000,1475000,390,3782,23,08-09-2019,4,5,Carillon (CARL),TL - Talega,Staci Blyth,NONE NONE,"Luxre Realty, Inc.",None MRML
